Item,Mass (g),Price (CAD),Serving Size (g),Calories (kcal),Protein (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Zinc (mg),Iron (mg),Vitamin A (µg),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Vitamin B6 (mg),Vitamin B12 (µg),Vitamin C (mg),Vitamin E (mg),Shelf Life (Days)
Beef,454,6.99,100,250,26.1,72,318,18,21,4,2.6,0,0.07,0.15,5.1,0.37,2.28,0,0.2,4
Mushrooms,227,2.49,100,22,3.1,5,318,3,9,0.5,0.5,0,0.08,0.4,3.6,0.1,0,2.1,0.01,2
Onion,150,0.5,100,40,1.1,4,146,23,10,0.2,0.2,0,0.05,0.03,0.1,0.12,0,7.4,0.02,21
Flour,2000,3.99,100,364,10.3,2,107,15,22,0.7,1.2,0,0.1,0.03,4.3,0.06,0,0,0.06,210
Cream,473,2.99,100,195,2,44,162,101,10,0.4,0.1,0,67,0.03,0.12,0.1,0.04,0,0.6,10
Parsley,30,1.5,100,36,3,56,554,138,50,1.1,6.2,421,0.09,0.1,1.3,0.09,0,133,0.75,3
Chicken,450,6.99,100,239,27.3,82,256,15,26,1,1.2,13,0.07,0.15,7.8,0.5,0.31,0,0.27,2
Chives,30,1.5,100,30,3.3,3,296,92,42,1.6,1.6,218,0.08,0.11,0.6,0.18,0,58,0.21,4
Butter,454,4.49,100,717,0.9,11,24,24,2,0.1,0,684,0.01,0.03,0,0.04,0,0,2.32,60
Mackerel,425,2.99,100,205,18.6,90,314,12,97,0.6,2.4,40,0.13,0.36,6.6,0.8,12,0,1,2
Miso Paste,300,4.99,100,199,12,3728,210,57,49,2.8,2.5,0,0.06,0.34,2.7,0.1,0,0,0,180
Squash,500,1.99,100,26,1,1,284,20,12,0.3,0.7,10,0.05,0.02,0.5,0.13,0,17,0.13,360
Rice,907,3.99,100,130,2.7,1,35,10,12,0.4,0.2,0,0.02,0.02,1.2,0.14,0,0,0.04,600
Soy Sauce,500,2.99,100,53,8.1,5630,435,33,74,0.8,1.2,0,0.04,0.19,0.9,0.07,0,0,0,270
Milk,1000,2.49,100,42,3.4,44,150,125,11,0.4,0,47,0.02,0.18,0.1,0.04,0.4,0,0.03,7
Salt,1000,1.29,100,0,0,38758,8,24,1,0.1,0.3,0,0,0,0,0,0,0,0,365
Sugar,2000,2.29,100,387,0,1,2,1,0,0,0.1,0,0,0,0,0,0,0,0,365
Cinnamon,50,2.49,100,247,4,10,431,1002,60,1.8,8.3,15,0.02,0.33,1.3,0.24,0,3,2.32,365
Apple,182,0.75,100,52,0.3,1,107,6,5,0.1,0.1,54,0.02,0.03,0.1,0.04,0,4.6,0.18,10
Egg,660,3.29,100,155,13,124,126,50,10,1.3,1.8,140,0.04,0.45,0.1,0.12,0.89,0,1.05,28
Cheese,200,3.99,100,402,25,621,98,721,28,3.5,0.7,265,0.03,0.43,0.1,0.09,1.1,0,0.26,60
Olive Oil,500,5.99,100,884,0,2,1,1,0,0,0.6,0,0,0,0,0,0,0,14.35,270
Baking Powder,450,2.29,100,53,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,270
